date,1. open,2. high,3. low,4. close,5. volume
2020-11-30 19:59:00,214.5,214.5,214.4,214.4,945.0
2020-11-30 19:58:00,214.5,214.5,214.5,214.5,351.0
2020-11-30 19:56:00,214.55,214.55,214.55,214.55,277.0
2020-11-30 19:54:00,214.5,214.5,214.5,214.5,313.0
2020-11-30 19:45:00,214.4,214.4,214.4,214.4,438.0
2020-11-30 19:44:00,214.4,214.4,214.11,214.4,1457.0
2020-11-30 19:43:00,214.4001,214.4001,214.4001,214.4001,182.0
2020-11-30 19:42:00,214.6,214.6,214.4,214.4,2140.0
2020-11-30 19:39:00,214.59,214.59,214.59,214.59,1011.0
2020-11-30 19:38:00,214.53,214.53,214.53,214.53,473.0
2020-11-30 19:37:00,214.49,214.49,214.49,214.49,963.0
2020-11-30 19:36:00,214.42,214.42,214.42,214.42,332.0
2020-11-30 19:28:00,214.52,214.52,214.52,214.52,118.0
2020-11-30 19:18:00,214.52,214.52,214.52,214.52,344.0
2020-11-30 19:04:00,214.6,214.68,214.6,214.68,926.0
2020-11-30 19:02:00,214.57,214.57,214.57,214.57,216.0
2020-11-30 19:01:00,214.37,214.37,214.37,214.37,196.0
2020-11-30 18:58:00,214.57,214.57,214.57,214.57,253.0
2020-11-30 18:54:00,214.5,214.5,214.5,214.5,1044.0
2020-11-30 18:52:00,214.5,214.5,214.5,214.5,494.0
2020-11-30 18:51:00,214.44,214.44,214.44,214.44,234.0
2020-11-30 18:47:00,214.44,214.44,214.44,214.44,295.0
2020-11-30 18:46:00,214.4,214.4,214.4,214.4,624.0
2020-11-30 18:44:00,214.25,214.25,214.25,214.25,1059.0
2020-11-30 18:36:00,214.0,214.0,214.0,214.0,314.0
2020-11-30 18:32:00,213.99,213.99,213.99,213.99,1246.0
2020-11-30 18:30:00,214.0,214.0,214.0,214.0,1123.0
2020-11-30 18:29:00,214.05,214.05,214.05,214.05,106.0
2020-11-30 18:27:00,214.05,214.05,214.05,214.05,233.0
2020-11-30 18:26:00,214.07,214.07,214.07,214.07,1103.0
2020-11-30 18:24:00,214.11,214.11,214.1,214.1,812.0
2020-11-30 18:23:00,214.11,214.11,214.1,214.1,420.0
2020-11-30 18:20:00,214.02,214.02,214.02,214.02,1030.0
2020-11-30 18:18:00,214.0,214.0,214.0,214.0,1369.0
2020-11-30 18:17:00,214.0,214.0,214.0,214.0,316.0
2020-11-30 18:15:00,214.0,214.0,214.0,214.0,300.0
2020-11-30 18:14:00,214.04,214.04,214.0,214.0,1908.0
2020-11-30 18:12:00,214.01,214.01,214.01,214.01,244.0
2020-11-30 18:11:00,214.0,214.0,214.0,214.0,226.0
2020-11-30 18:10:00,214.15,214.15,214.0,214.0,1221.0
2020-11-30 18:09:00,214.15,214.15,214.1,214.1,683.0
2020-11-30 18:08:00,214.15,214.15,214.15,214.15,490.0
