date,1. open,2. high,3. low,4. close,5. volume
2020-11-20 20:00:00,210.5,210.5,210.49,210.49,523.0
2020-11-20 19:58:00,210.41,210.41,210.41,210.41,446.0
2020-11-20 19:57:00,210.47,210.47,210.47,210.47,524.0
2020-11-20 19:56:00,210.5,210.5,210.5,210.5,293.0
2020-11-20 19:54:00,210.48,210.48,210.48,210.48,594.0
2020-11-20 19:51:00,210.5,210.5,210.5,210.5,1012.0
2020-11-20 19:49:00,210.52,210.52,210.52,210.52,1077.0
2020-11-20 19:48:00,210.6,210.6,210.6,210.6,185.0
2020-11-20 19:45:00,210.52,210.52,210.52,210.52,1163.0
2020-11-20 19:43:00,210.62,210.62,210.52,210.6,810.0
2020-11-20 19:37:00,210.7,210.7,210.7,210.7,295.0
2020-11-20 19:34:00,210.7,210.7,210.7,210.7,150.0
2020-11-20 19:27:00,210.72,210.72,210.72,210.72,209.0
2020-11-20 19:16:00,210.68,210.68,210.68,210.68,492.0
2020-11-20 19:10:00,210.65,210.65,210.65,210.65,206.0
2020-11-20 19:04:00,210.75,210.75,210.75,210.75,236.0
2020-11-20 18:58:00,210.71,210.71,210.71,210.71,154.0
2020-11-20 18:51:00,210.68,210.68,210.67,210.67,581.0
2020-11-20 18:49:00,210.71,210.71,210.71,210.71,235.0
2020-11-20 18:33:00,210.67,210.67,210.67,210.67,100.0
2020-11-20 18:24:00,210.67,210.67,210.67,210.67,313.0
2020-11-20 18:16:00,210.55,210.55,210.55,210.55,1700.0
2020-11-20 18:11:00,210.62,210.65,210.6,210.65,3747.0
2020-11-20 18:06:00,210.55,210.55,210.52,210.52,608.0
2020-11-20 18:04:00,210.55,210.55,210.55,210.55,421.0
2020-11-20 18:01:00,210.59,210.59,210.59,210.59,125.0
2020-11-20 18:00:00,210.55,210.55,210.55,210.55,490.0
2020-11-20 17:59:00,210.55,210.55,210.55,210.55,260.0
2020-11-20 17:56:00,210.55,210.55,210.55,210.55,1698.0
2020-11-20 17:54:00,210.55,210.55,210.55,210.55,345.0
2020-11-20 17:53:00,210.55,210.55,210.55,210.55,161.0
2020-11-20 17:51:00,210.5,210.52,210.5,210.52,36313.0
2020-11-20 17:47:00,210.57,210.57,210.57,210.57,416.0
2020-11-20 17:46:00,210.57,210.57,210.57,210.57,223.0
2020-11-20 17:40:00,210.5,210.5,210.5,210.5,513.0
2020-11-20 17:39:00,210.5,210.5,210.5,210.5,4121.0
2020-11-20 17:37:00,210.57,210.57,210.57,210.57,422.0
2020-11-20 17:35:00,210.57,210.6,210.57,210.6,11508.0
2020-11-20 17:33:00,210.58,210.58,210.58,210.58,281.0
2020-11-20 17:31:00,210.6,210.6,210.6,210.6,161.0
2020-11-20 17:29:00,210.5,210.5,210.5,210.5,264.0
2020-11-20 17:26:00,210.5,210.5,210.5,210.5,538.0
2020-11-20 17:24:00,210.4999,210.5,210.4999,210.5,478.0
2020-11-20 17:21:00,210.5,210.5,210.5,210.5,281.0
2020-11-20 17:19:00,210.4801,210.4801,210.48,210.48,2946.0
2020-11-20 17:18:00,210.5,210.5,210.5,210.5,483.0
2020-11-20 17:17:00,210.4898,210.5,210.48,210.48,762.0
2020-11-20 17:15:00,210.45,210.48,210.45,210.48,581.0
2020-11-20 17:09:00,210.4232,210.4232,210.4232,210.4232,338.0
2020-11-20 17:07:00,210.45,210.45,210.42,210.42,633.0
2020-11-20 17:05:00,210.49,210.5,210.4221,210.45,1312.0
2020-11-20 17:04:00,210.49,210.49,210.49,210.49,282.0
2020-11-20 17:00:00,210.43,210.46,210.43,210.46,1612.0
2020-11-20 16:59:00,210.44,210.44,210.44,210.44,339.0
2020-11-20 16:56:00,210.44,210.45,210.44,210.44,2450.0
2020-11-20 16:55:00,210.4,210.4,210.4,210.4,311.0
2020-11-20 16:54:00,210.4,210.4,210.4,210.4,1200.0
2020-11-20 16:53:00,210.36,210.39,210.36,210.36,5639.0
2020-11-20 16:52:00,210.37,210.37,210.36,210.36,907.0
2020-11-20 16:49:00,210.37,210.39,210.37,210.37,31812.0
2020-11-20 16:45:00,210.39,210.39,210.18,210.18,341.0
2020-11-20 16:44:00,210.3898,210.3898,210.35,210.35,486.0
2020-11-20 16:43:00,210.3,210.35,210.16,210.35,3331.0
2020-11-20 16:42:00,210.39,210.45,210.39,210.39,3473.0
2020-11-20 16:41:00,210.31,210.39,210.3,210.39,1130.0
2020-11-20 16:40:00,210.37,210.37,210.37,210.37,411.0
2020-11-20 16:39:00,210.36,210.36,210.36,210.36,608.0
2020-11-20 16:38:00,210.39,210.39,210.36,210.36,4503.0
2020-11-20 16:37:00,210.39,210.39,210.36,210.36,674.0
2020-11-20 16:36:00,210.39,210.4,210.36,210.39,1422.0
2020-11-20 16:34:00,210.35,210.4,210.33,210.4,1984.0
2020-11-20 16:33:00,210.33,210.33,210.33,210.33,307.0
